"","month","year","coredata.morain.","coredata.motemp."
"147","12","1998",1.74,47.0322580645161
"148","01","1999",7.44,50.258064516129
"149","02","1999",10.66,49.6071428571429
"150","03","1999",4.08,50.7096774193548
"151","04","1999",2.97,54.3
"152","05","1999",0.04,56.0967741935484
"153","06","1999",0.34,58.3666666666667
"154","07","1999",0,62.3064516129032
"155","08","1999",0.02,63.5967741935484
"156","09","1999",0.18,61.1666666666667
"157","10","1999",0.29,60.6451612903226
"158","11","1999",3.41,54.9
"159","12","1999",0.77,50.8548387096774
"160","01","2000",11.86,50.9838709677419
"161","02","2000",14.06,53.0862068965517
"162","03","2000",2.41,54.0483870967742
"163","04","2000",1.6,57.7
"164","05","2000",1.27,60.7096774193548
"165","06","2000",0.19,62.1333333333333
"166","07","2000",0,61.4516129032258
"167","08","2000",0.22,62.2741935483871
"168","09","2000",0.31,63.3333333333333
"169","10","2000",4.84,58.3387096774194
"170","11","2000",1.28,50.7166666666667
"171","12","2000",1.04,52.6612903225806
"172","01","2001",5.92,48.9677419354839
"173","02","2001",7,50.5
"174","03","2001",3.29,55.3548387096774
"175","04","2001",1.76,53.3166666666667
"176","05","2001",0,61.1129032258064
"177","06","2001",0.1,62.45
"178","07","2001",0,61.9677419354839
"179","08","2001",0.02,62.4193548387097
"180","09","2001",0.2,61.1833333333333
"181","10","2001",0.7,59.5967741935484
"182","11","2001",6.28,55.15
"183","12","2001",11.07,50.3387096774194
"184","01","2002",3.73,47.258064516129
"185","02","2002",2.28,52.5535714285714
"186","03","2002",3.52,51.9838709677419
"187","04","2002",0.35,55.2166666666667
"188","05","2002",0.81,57.0483870967742
"189","06","2002",0,61.5333333333333
"190","07","2002",0.01,61.9193548387097
"191","08","2002",0.04,62.2096774193548
"192","09","2002",0,62.2833333333333
"193","10","2002",0,58.6129032258064
"194","11","2002",4.27,56.2333333333333
"195","12","2002",15.21,51.4193548387097
"196","01","2003",1.85,55.5161290322581
"197","02","2003",1.86,52.0892857142857
"198","03","2003",1.47,54.5806451612903
"199","04","2003",3.5,53.7166666666667
"200","05","2003",0.9,59.1451612903226
"201","06","2003",0.07,61.8
"202","07","2003",0,63.1290322580645
"203","08","2003",0.01,66.5
"204","09","2003",0,64.9
"205","10","2003",0.31,61.9838709677419
"206","11","2003",3.38,53.1
"207","12","2003",9.93,51.4193548387097
"208","01","2004",3.27,49.7741935483871
"209","02","2004",5.64,51.2413793103448
"210","03","2004",1.34,58.6935483870968
"211","04","2004",0.43,57.6166666666667
"212","05","2004",0.09,60.3548387096774
"213","06","2004",0.01,62.05
"214","07","2004",0.06,63.2903225806452
