"","quarter","year","coredata.quarterly."
"1",4,"1988",12.7197826086957
"2",1,"1989",52.0588888888889
"3",2,"1989",6.79450549450549
"4",3,"1989",0.720652173913043
"5",4,"1989",11.1878260869565
"6",1,"1990",21.5966666666667
"7",2,"1990",9.39120879120879
"8",3,"1990",1.20728260869565
"9",4,"1990",1.69282608695652
"10",1,"1991",42.3233333333333
"11",2,"1991",8.48901098901099
"12",3,"1991",1.13902173913043
"13",4,"1991",4.0145652173913
"14",1,"1992",64.7846153846154
"15",2,"1992",7.63296703296703
"16",3,"1992",0.591847826086957
"17",4,"1992",12.4746739130435
"18",1,"1993",190.122222222222
"19",2,"1993",16.5879120879121
"20",3,"1993",2.8304347826087
"21",4,"1993",7.16413043478261
"22",1,"1994",25.0366666666667
"23",2,"1994",5.88901098901099
"24",3,"1994",0.530326086956522
"25",4,"1994",8.505
"26",1,"1995",250.366666666667
"27",2,"1995",48.1428571428571
"28",3,"1995",7.32173913043478
"29",4,"1995",10.0608695652174
"30",1,"1996",183.320879120879
"31",2,"1996",36.4175824175824
"32",3,"1996",6.31847826086956
"33",4,"1996",98.9989130434783
"34",1,"1997",183.444444444444
"35",2,"1997",13.0230769230769
"36",3,"1997",3.80434782608696
"37",4,"1997",14.9358695652174
"38",1,"1998",268.955555555556
"39",2,"1998",58.967032967033
"40",3,"1998",12.6630434782609
"41",4,"1998",15.6771739130435
"42",1,"1999",133.422222222222
"43",2,"1999",34.9120879120879
"44",3,"1999",6.81630434782609
"45",4,"1999",5.97608695652174
"46",1,"2000",193.647252747253
"47",2,"2000",23.1252747252747
"48",3,"2000",6.27717391304348
"49",4,"2000",8.22173913043478
"50",1,"2001",66.6644444444444
"51",2,"2001",16.1472527472527
"52",3,"2001",2.74347826086957
"53",4,"2001",32.700652173913
"54",1,"2002",48.6544444444444
"55",2,"2002",12.8464835164835
"56",3,"2002",2.97489130434783
"57",4,"2002",69.645652173913
"58",1,"2003",40.1522222222222
"59",2,"2003",28.6024175824176
"60",3,"2003",3.55228260869565
"61",4,"2003",34.0770652173913
"62",1,"2004",82.7
"63",2,"2004",9.83494505494505
"64",3,"2004",2.08923913043478
"65",4,"2004",40.4851086956522
"66",1,"2005",125.271111111111
"67",2,"2005",36.5648351648352
"68",3,"2005",6.94554347826087
"69",4,"2005",63.6239130434783
"70",1,"2006",146.264444444444
"71",2,"2006",112.963736263736
"72",3,"2006",9.04326086956522
"73",4,"2006",8.27217391304348
"74",1,"2007",24.3073333333333
"75",2,"2007",6.66615384615385
"76",3,"2007",1.82163043478261
"77",4,"2007",3.28652173913043
"78",1,"2008",68.3102197802198
"79",2,"2008",5.51197802197802
"80",3,"2008",1.24771739130435
"81",4,"2008",5.94195652173913
"82",1,"2009",76.2963333333333
"83",2,"2009",9.11131868131868
"84",3,"2009",1.85880434782609
"85",4,"2009",26.9288043478261
"86",1,"2010",98.0977777777778
"87",2,"2010",33.0920879120879
"88",3,"2010",4.7029347826087
"89",4,"2010",53.0595652173913
"90",1,"2011",160.596666666667
"91",2,"2011",43.1978021978022
"92",3,"2011",7.56586956521739
"93",4,"2011",6.52130434782609
"94",1,"2012",53.3020879120879
"95",2,"2012",26.8052747252747
"96",3,"2012",2.87054347826087
"97",4,"2012",73.7042391304348
"98",1,"2013",20.9166666666667
"99",2,"2013",5.03296703296703
"100",3,"2013",1.07119565217391
"101",4,"2013",1.60619565217391
"102",1,"2014",11.3978888888889
"103",2,"2014",4.03648351648352
"104",3,"2014",0.510108695652174
"105",4,"2014",23.4054347826087
"106",1,"2015",24.1868888888889
"107",2,"2015",4.86010989010989
"108",3,"2015",0.603804347826087
"109",4,"2015",3.64836956521739
"110",1,"2016",128.095714285714
"111",2,"2016",13.4146153846154
"112",3,"2016",1.85913043478261
"113",4,"2016",62.8748913043478
"114",1,"2017",479.48
"115",2,"2017",60.6010989010989
"116",3,"2017",9.0045652173913
"117",4,"2017",7.59423913043478
"118",1,"2018",24.427037037037
